kind	status	owner	path	size_bytes	existed	deleted
finetuned	success_eval	cs3_mistral_boolq_lora_s50_sparse_to_sparse_2191960_20260226_044552	results/masked_runs_cs/cs3_mistral_boolq_lora_s50_sparse_to_sparse_2191960_20260226_044552/model_dir/checkpoint_200.mdl	14711986317	True	True
finetuned	success_eval	cs3_mistral_boolq_lora_s75_sparse_to_dense_2191960_20260226_052741	results/masked_runs_cs/cs3_mistral_boolq_lora_s75_sparse_to_dense_2191960_20260226_052741/model_dir/checkpoint_200.mdl	12135134503	True	True
base	success_eval	mistral_s75	checkpoints/cs_sparse/mistral_s75/model_to_cs-2.5.mdl	9139301586	True	True
finetuned	success_eval	cs3_mistral_boolq_lora_s75_sparse_to_sparse_2191960_20260226_060932	results/masked_runs_cs/cs3_mistral_boolq_lora_s75_sparse_to_sparse_2191960_20260226_060932/model_dir/checkpoint_200.mdl	12135108855	True	True
finetuned	success_train_only	cs3_mistral_gsm8k_lora_s25_sparse_to_dense_2191960_20260225_134521	results/masked_runs_cs/cs3_mistral_gsm8k_lora_s25_sparse_to_dense_2191960_20260225_134521/model_dir/checkpoint_200.mdl	17287410552	True	True
finetuned	success_train_only	cs3_mistral_gsm8k_lora_s25_sparse_to_dense_2191960_20260226_065330	results/masked_runs_cs/cs3_mistral_gsm8k_lora_s25_sparse_to_dense_2191960_20260226_065330/model_dir/checkpoint_200.mdl	17287401640	True	True
finetuned	success_train_only	cs3_mistral_gsm8k_lora_s25_sparse_to_sparse_2191960_20260226_073651	results/masked_runs_cs/cs3_mistral_gsm8k_lora_s25_sparse_to_sparse_2191960_20260226_073651/model_dir/checkpoint_200.mdl	17287397368	True	True
finetuned	success_eval	cs3_mistral_hellaswag_lora_s25_sparse_to_dense_2191960_20260225_144405	results/masked_runs_cs/cs3_mistral_hellaswag_lora_s25_sparse_to_dense_2191960_20260225_144405/model_dir/checkpoint_200.mdl	17287366432	True	True
finetuned	success_eval	cs3_mistral_hellaswag_lora_s50_sparse_to_dense_2191960_20260225_152701	results/masked_runs_cs/cs3_mistral_hellaswag_lora_s50_sparse_to_dense_2191960_20260225_152701/model_dir/checkpoint_200.mdl	14712013069	True	True
finetuned	success_eval	cs3_mistral_hellaswag_lora_s75_sparse_to_dense_2191960_20260225_161251	results/masked_runs_cs/cs3_mistral_hellaswag_lora_s75_sparse_to_dense_2191960_20260225_161251/model_dir/checkpoint_200.mdl	12135162114	True	True
