Model Name,Task Name,Sparsity Percentage,Training Mode,Run Timestamp,Run Status,Evaluation Accuracy,Evaluation Language Model Perplexity,Observed Batch Size,Observed Training Throughput at Observed Batch Size (Samples Per Second),Run Directory,Estimated Fields,Estimate Method
llama3,boolq,0,dense,20260215-160246-2172527,success eval,0.7804281345565749,37.857852935791,4,1.04,results/runs/gpu-dense-llama3.1-8b-boolq-20260215-160246-2172527,Evaluation Language Model Perplexity,borrowed same model/task perplexity from Cerebras dense table
llama3,gsm8k,0,dense,20260205-180151-845210,success eval,0.4988627748294162,13210.9208984375,4,1.34,results/runs/gpu-dense-llama3.1-8b-gsm8k-20260205-180151-845210,Evaluation Language Model Perplexity,borrowed same model/task perplexity from Cerebras dense table
llama3,hellaswag,0,dense,20260206-091806-1077903,success eval,0.5946026687910775,51.0610771179199,4,1.33,results/runs/gpu-dense-llama3.1-8b-hellaswag-20260206-091806-1077903,Evaluation Language Model Perplexity,borrowed same model/task perplexity from Cerebras dense table
mistral,boolq,0,dense,20260216-072054-2043935,success eval,0.9208324159021407,1.28196263313293,16,1.1,results/runs/gpu-dense-mistral-7b-boolq-20260216-072054-2043935,Evaluation Language Model Perplexity,borrowed same model/task perplexity from Cerebras dense table
mistral,gsm8k,0,dense,20260216-110404-3151546,success eval,0.3297952994692949,447.35518862615,16,1.09,results/runs/gpu-dense-mistral-7b-gsm8k-20260216-110404-3151546,Evaluation Language Model Perplexity,borrowed same model/task perplexity from Cerebras dense table
mistral,hellaswag,0,dense,20260216-085223-2567242,success eval,0.5467038438558056,1.53204357624054,16,1.1,results/runs/gpu-dense-mistral-7b-hellaswag-20260216-085223-2567242,Evaluation Language Model Perplexity,borrowed same model/task perplexity from Cerebras dense table
mixtral,boolq,0,dense,20260224-123351-2497214,blocked,0.5320059747604848,2.87625741958618,1,0.33,results/runs/gpu-dense-mixtral-8x7b-boolq-20260224-123351-2497214,Evaluation Language Model Perplexity;Evaluation Accuracy;Observed Batch Size;Observed Training Throughput at Observed Batch Size (Samples Per Second),borrowed same model/task perplexity from Cerebras dense table;scaled Cerebras dense accuracy by observed GPU/Cerebras task ratio;filled model-level typical GPU dense batch size;scaled Cerebras dense train throughput by observed GPU/Cerebras task ratio
mixtral,boolq,0,dense,20260224-130513-2661506,blocked,0.5320059747604848,2.87625741958618,1,0.33,results/runs/gpu-dense-mixtral-8x7b-boolq-20260224-130513-2661506,Evaluation Language Model Perplexity;Evaluation Accuracy;Observed Batch Size;Observed Training Throughput at Observed Batch Size (Samples Per Second),borrowed same model/task perplexity from Cerebras dense table;scaled Cerebras dense accuracy by observed GPU/Cerebras task ratio;filled model-level typical GPU dense batch size;scaled Cerebras dense train throughput by observed GPU/Cerebras task ratio
