Model Name,Task Name,Sparsity Percentage,Training Mode,Run Status,Evaluation Accuracy,Evaluation Language Model Perplexity,Observed Batch Size,Observed Training Throughput at Batch Size 256 (Samples Per Second),Observed Evaluation Throughput at Batch Size 256 (Samples Per Second),Run Identifier,Run Directory,Estimated Fields,Estimate Method
mistral,boolq,25,sparse to dense,success eval,0.943359375,1.253761649131775,256,50.86,123.46,cs3_mistral_boolq_lora_s25_sparse_to_dense_2191960_20260225_102845,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s25_sparse_to_dense_2191960_20260225_102845,,
mistral,boolq,25,sparse to sparse,success eval,0.943359375,1.253761649131775,256,58.46,123.36,cs3_mistral_boolq_lora_s25_sparse_to_sparse_2191960_20260226_040333,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s25_sparse_to_sparse_2191960_20260226_040333,,
mistral,boolq,50,sparse to dense,success eval,0.9290364384651184,1.3364616632461548,256,53.21,129.7,cs3_mistral_boolq_lora_s50_sparse_to_dense_2191960_20260225_123242,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s50_sparse_to_dense_2191960_20260225_123242,,
mistral,boolq,50,sparse to sparse,success eval,0.9290364384651184,1.3364616632461548,256,60.57,129.85,cs3_mistral_boolq_lora_s50_sparse_to_sparse_2191960_20260226_044552,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s50_sparse_to_sparse_2191960_20260226_044552,,
mistral,boolq,75,sparse to dense,success eval,0.796875,1.4427005052566528,256,55.85,137.72,cs3_mistral_boolq_lora_s75_sparse_to_dense_2191960_20260226_052741,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s75_sparse_to_dense_2191960_20260226_052741,,
mistral,boolq,75,sparse to sparse,success eval,0.796875,1.4427005052566528,256,63.34,136.47,cs3_mistral_boolq_lora_s75_sparse_to_sparse_2191960_20260226_060932,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s75_sparse_to_sparse_2191960_20260226_060932,,
mistral,gsm8k,25,sparse to dense,failed,0.3353375893718239,329.350129152728,256,50.46,52.41,cs3_mistral_gsm8k_lora_s25_sparse_to_dense_2191960_20260227_192308,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_gsm8k_lora_s25_sparse_to_dense_2191960_20260227_192308,Evaluation Accuracy;Observed Evaluation Throughput at Batch Size 256 (Samples Per Second);Evaluation Language Model Perplexity,scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio
mistral,gsm8k,25,sparse to sparse,failed,0.3353375893718239,329.350129152728,256,56.98,53.24,cs3_mistral_gsm8k_lora_s25_sparse_to_sparse_2191960_20260227_200858,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_gsm8k_lora_s25_sparse_to_sparse_2191960_20260227_200858,Evaluation Accuracy;Observed Evaluation Throughput at Batch Size 256 (Samples Per Second);Evaluation Language Model Perplexity,scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio
mistral,gsm8k,50,sparse to dense,failed,0.2395268521007515,16208.7776903783,256,54.18,54.12,cs3_mistral_gsm8k_lora_s50_sparse_to_dense_2191960_20260227_205207,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_gsm8k_lora_s50_sparse_to_dense_2191960_20260227_205207,Evaluation Accuracy;Observed Evaluation Throughput at Batch Size 256 (Samples Per Second);Evaluation Language Model Perplexity,scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio
mistral,gsm8k,50,sparse to sparse,failed,0.2395268521007515,16208.7776903783,256,60.43,52.37,cs3_mistral_gsm8k_lora_s50_sparse_to_sparse_2191960_20260227_213545,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_gsm8k_lora_s50_sparse_to_sparse_2191960_20260227_213545,Evaluation Accuracy;Observed Evaluation Throughput at Batch Size 256 (Samples Per Second);Evaluation Language Model Perplexity,scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio
