Model Name,Task Name,Sparsity Percentage,Training Mode,Run Status,Evaluation Accuracy,Evaluation Language Model Perplexity,Observed Batch Size,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate)","Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate)","Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)","Estimated Training Throughput at Batch Size 256 (Samples Per Second, Linear Estimate)","Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate)","Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate)","Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)","Estimated Evaluation Throughput at Batch Size 256 (Samples Per Second, Linear Estimate)",Run Identifier,Run Directory,Estimated Fields,Estimate Method
llama3,gsm8k,75,sparse to dense,success eval,0.0199999995529651,109799.2578125,256,45.88,46.83,47.64,46.54,48.8,48.7,48.61,49.84,cs3_llama3_gsm8k_lora_s75_sparse_to_dense_2191960_20260225_072851,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_gsm8k_lora_s75_sparse_to_dense_2191960_20260225_072851,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,gsm8k,75,sparse to sparse,success eval,0.0199999995529651,109799.2578125,256,51.54,55.36,54.06,51.74,42.92,46.3,49.96,49.54,cs3_llama3_gsm8k_lora_s75_sparse_to_sparse_2191960_20260226_010753,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_gsm8k_lora_s75_sparse_to_sparse_2191960_20260226_010753,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,hellaswag,25,sparse to dense,success eval,0.6087239384651184,32.00416564941406,256,40.78,40.72,40.66,41.4,91.12,90.94,90.77,93.06,cs3_llama3_hellaswag_lora_s25_sparse_to_dense_2191960_20260225_081255,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_hellaswag_lora_s25_sparse_to_dense_2191960_20260225_081255,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,hellaswag,25,sparse to sparse,success eval,0.6087239384651184,32.00416564941406,256,48.09,47.62,45.89,49.99,80.63,86.99,93.86,93.07,cs3_llama3_hellaswag_lora_s25_sparse_to_sparse_2191960_20260226_015143,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_hellaswag_lora_s25_sparse_to_sparse_2191960_20260226_015143,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,hellaswag,50,sparse to dense,success eval,0.4694010317325592,41.5553092956543,256,44.83,43.1,44.04,45.13,95.8,95.61,95.43,97.84,cs3_llama3_hellaswag_lora_s50_sparse_to_dense_2191960_20260225_085748,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_hellaswag_lora_s50_sparse_to_dense_2191960_20260225_085748,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,hellaswag,50,sparse to sparse,success eval,0.4694010317325592,41.5553092956543,256,52.55,50.07,49.19,53.89,84.86,91.55,98.79,97.95,cs3_llama3_hellaswag_lora_s50_sparse_to_sparse_2191960_20260226_023534,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_hellaswag_lora_s50_sparse_to_sparse_2191960_20260226_023534,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,hellaswag,75,sparse to dense,success eval,0.103515625,52.01983642578125,256,48.87,45.22,47.75,49.38,101.07,100.88,100.69,103.23,cs3_llama3_hellaswag_lora_s75_sparse_to_dense_2191960_20260225_094450,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_hellaswag_lora_s75_sparse_to_dense_2191960_20260225_094450,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
llama3,hellaswag,75,sparse to sparse,success eval,0.103515625,52.01983642578125,256,56.55,52.57,52.76,58.18,89.33,96.37,103.99,103.11,cs3_llama3_hellaswag_lora_s75_sparse_to_sparse_2191960_20260226_031946,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_llama3_hellaswag_lora_s75_sparse_to_sparse_2191960_20260226_031946,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,boolq,25,sparse to dense,success eval,0.943359375,1.253761649131775,256,49.16,49.71,50.3,50.86,116.65,118.87,121.21,123.46,cs3_mistral_boolq_lora_s25_sparse_to_dense_2191960_20260225_102845,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s25_sparse_to_dense_2191960_20260225_102845,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
mistral,boolq,25,sparse to sparse,success eval,0.943359375,1.253761649131775,256,57.47,57.21,56.04,58.46,106.87,115.3,124.41,123.36,cs3_mistral_boolq_lora_s25_sparse_to_sparse_2191960_20260226_040333,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_boolq_lora_s25_sparse_to_sparse_2191960_20260226_040333,"Estimated Training Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 32 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 64 (Samples Per Second, Linear Estimate);Estimated Training Throughput at Batch Size 128 (Samples Per Second, Linear Estimate);Estimated Evaluation Throughput at Batch Size 128 (Samples Per Second, Linear Estimate)",scaled from batch-256 train throughput using GPU-derived non-linear batch curve;scaled from batch-256 eval throughput using GPU-derived non-linear batch curve
