run_id,method,model,task,sparsity_fraction,timestamp,point_index,micro_batch,seq_len,world_size,tokens_per_step,mean_step_time_s,tokens_per_s,peak_mem_gb,run_dir
gpu-week4_sparse_to_dense-llama3.1-8b-gsm8k-s75-20260228-095557-3150564,sparse_to_dense,llama3.1-8b,gsm8k,75,20260228-095557-3150564,1,2,2048,1,4096,4.903017295897007,835.4039467549211,25.591686248779297,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-gsm8k-s75-20260228-095557-3150564
gpu-week4_sparse_to_dense-llama3.1-8b-gsm8k-s75-20260228-095557-3150564,sparse_to_dense,llama3.1-8b,gsm8k,75,20260228-095557-3150564,2,1,2048,1,2048,2.457876243442297,833.2396740739646,21.454914093017578,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-gsm8k-s75-20260228-095557-3150564
gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s25-20260227-203234-2639186,sparse_to_dense,llama3.1-8b,hellaswag,25,20260227-203234-2639186,0,4,2048,1,8192,9.663924489170313,847.6887427235389,34.177730560302734,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s25-20260227-203234-2639186
gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s25-20260227-203234-2639186,sparse_to_dense,llama3.1-8b,hellaswag,25,20260227-203234-2639186,1,2,2048,1,4096,4.946858212351799,828.0002830428224,25.591686248779297,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s25-20260227-203234-2639186
gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s25-20260227-203234-2639186,sparse_to_dense,llama3.1-8b,hellaswag,25,20260227-203234-2639186,2,1,2048,1,2048,2.4662217322736977,830.4200604508808,21.454914093017578,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s25-20260227-203234-2639186
gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s50-20260227-222915-2735240,sparse_to_dense,llama3.1-8b,hellaswag,50,20260227-222915-2735240,0,4,2048,1,8192,9.62347502335906,851.2517547056088,34.177730560302734,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s50-20260227-222915-2735240
gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s50-20260227-222915-2735240,sparse_to_dense,llama3.1-8b,hellaswag,50,20260227-222915-2735240,1,2,2048,1,4096,4.933471258915961,830.2470583156941,25.591686248779297,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s50-20260227-222915-2735240
gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s50-20260227-222915-2735240,sparse_to_dense,llama3.1-8b,hellaswag,50,20260227-222915-2735240,2,1,2048,1,2048,2.4619510799646376,831.860558346032,21.454914093017578,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s50-20260227-222915-2735240
gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s75-20260228-002335-2839810,sparse_to_dense,llama3.1-8b,hellaswag,75,20260228-002335-2839810,0,4,2048,1,8192,9.556545775942505,857.2134945057669,34.177730560302734,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s75-20260228-002335-2839810
gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s75-20260228-002335-2839810,sparse_to_dense,llama3.1-8b,hellaswag,75,20260228-002335-2839810,1,2,2048,1,4096,4.905496602319181,834.9817219450374,25.591686248779297,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s75-20260228-002335-2839810
gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s75-20260228-002335-2839810,sparse_to_dense,llama3.1-8b,hellaswag,75,20260228-002335-2839810,2,1,2048,1,2048,2.4587984256446362,832.9271641952776,21.454914093017578,results/runs/gpu-week4_sparse_to_dense-llama3.1-8b-hellaswag-s75-20260228-002335-2839810
gpu-week4_sparse_to_dense-mistral-7b-boolq-s25-20260301-235838-1534833,sparse_to_dense,mistral-7b,boolq,25,20260301-235838-1534833,0,8,2048,1,16384,5.809997167345136,2819.9669514618076,27.97842025756836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-boolq-s25-20260301-235838-1534833
gpu-week4_sparse_to_dense-mistral-7b-boolq-s25-20260301-235838-1534833,sparse_to_dense,mistral-7b,boolq,25,20260301-235838-1534833,1,4,2048,1,8192,2.9602488044649364,2767.334957671134,21.16299057006836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-boolq-s25-20260301-235838-1534833
gpu-week4_sparse_to_dense-mistral-7b-boolq-s25-20260301-235838-1534833,sparse_to_dense,mistral-7b,boolq,25,20260301-235838-1534833,2,2,2048,1,4096,1.512312061805278,2708.4357147231376,17.59902572631836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-boolq-s25-20260301-235838-1534833
gpu-week4_sparse_to_dense-mistral-7b-boolq-s50-20260302-005105-1944990,sparse_to_dense,mistral-7b,boolq,50,20260302-005105-1944990,0,8,2048,1,16384,5.8047284035943445,2822.526544024845,27.97842025756836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-boolq-s50-20260302-005105-1944990
gpu-week4_sparse_to_dense-mistral-7b-boolq-s50-20260302-005105-1944990,sparse_to_dense,mistral-7b,boolq,50,20260302-005105-1944990,1,4,2048,1,8192,2.960031786095351,2767.537848235834,21.16299057006836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-boolq-s50-20260302-005105-1944990
gpu-week4_sparse_to_dense-mistral-7b-boolq-s50-20260302-005105-1944990,sparse_to_dense,mistral-7b,boolq,50,20260302-005105-1944990,2,2,2048,1,4096,1.5076039565727115,2716.89390449172,17.59902572631836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-boolq-s50-20260302-005105-1944990
gpu-week4_sparse_to_dense-mistral-7b-gsm8k-s25-20260302-043131-3193514,sparse_to_dense,mistral-7b,gsm8k,25,20260302-043131-3193514,0,8,2048,1,16384,5.814941192604602,2817.5693368725806,27.97842025756836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-gsm8k-s25-20260302-043131-3193514
