Model Name,Task Name,Sparsity Percentage,Training Mode,Run Timestamp,Run Status,Evaluation Accuracy,Evaluation Language Model Perplexity,Observed Batch Size,Observed Training Throughput at Observed Batch Size (Samples Per Second),Run Directory,Estimated Fields,Estimate Method
mistral,boolq,25,sparse to dense,20260301-235838-1534833,success eval,0.892874617737003,1.25376164913177,8,1.38,results/runs/gpu-week4_sparse_to_dense-mistral-boolq-s25-20260301-235838-1534833,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,boolq,25,sparse to sparse,20260302-002940-1779409,success eval,0.7882874617737003,1.25376164913177,4,1.15,results/runs/gpu-week4_sparse_to_sparse-mistral-boolq-s25-20260302-002940-1779409,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,boolq,50,sparse to dense,20260302-005105-1944990,success eval,0.853792048929664,1.33646166324615,8,1.38,results/runs/gpu-week4_sparse_to_dense-mistral-boolq-s50-20260302-005105-1944990,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,boolq,50,sparse to sparse,20260302-011837-2149571,success eval,0.832874617737003,1.33646166324615,4,1.15,results/runs/gpu-week4_sparse_to_sparse-mistral-boolq-s50-20260302-011837-2149571,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,boolq,75,sparse to dense,20260302-013930-2272025,failed,0.735,1.44270050525665,8,0.43,results/runs/gpu-week4_sparse_to_dense-mistral-boolq-s75-20260302-013930-2272025,Evaluation Language Model Perplexity;Evaluation Accuracy;Observed Batch Size;Observed Training Throughput at Observed Batch Size (Samples Per Second),"borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table;scaled Cerebras sparse accuracy by observed GPU/Cerebras sparse ratio;filled model/mode typical GPU sparse batch size;scaled Cerebras sparse train throughput by observed GPU/Cerebras sparse ratio;clamped estimated accuracy into [0,1];capped estimated accuracy to a conservative 0.95"
mistral,boolq,75,sparse to sparse,20260302-014046-2278573,failed,0.72,1.44270050525665,4,1.08,results/runs/gpu-week4_sparse_to_sparse-mistral-boolq-s75-20260302-014046-2278573,Evaluation Language Model Perplexity;Evaluation Accuracy;Observed Batch Size;Observed Training Throughput at Observed Batch Size (Samples Per Second),"borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table;scaled Cerebras sparse accuracy by observed GPU/Cerebras sparse ratio;filled model/mode typical GPU sparse batch size;scaled Cerebras sparse train throughput by observed GPU/Cerebras sparse ratio;clamped estimated accuracy into [0,1];capped estimated accuracy to a conservative 0.95"
mistral,gsm8k,25,sparse to dense,20260302-043131-3193514,success eval,0.32950303260045489,329.350129152728,8,1.38,results/runs/gpu-week4_sparse_to_dense-mistral-gsm8k-s25-20260302-043131-3193514,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,gsm8k,25,sparse to sparse,20260302-064019-3993574,success eval,0.0,329.350129152728,4,1.15,results/runs/gpu-week4_sparse_to_sparse-mistral-gsm8k-s25-20260302-064019-3993574,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,gsm8k,50,sparse to dense,20260302-083759-568756,success eval,0.3290371493555724,16208.7776903783,8,1.38,results/runs/gpu-week4_sparse_to_dense-mistral-gsm8k-s50-20260302-083759-568756,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,gsm8k,50,sparse to sparse,20260302-110021-1438675,success eval,0.0,16208.7776903783,4,1.15,results/runs/gpu-week4_sparse_to_sparse-mistral-gsm8k-s50-20260302-110021-1438675,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,gsm8k,75,sparse to dense,20260302-125712-2286024,failed,0.21,3718.08052348052,8,0.42,results/runs/gpu-week4_sparse_to_dense-mistral-gsm8k-s75-20260302-125712-2286024,Evaluation Accuracy;Observed Batch Size;Observed Training Throughput at Observed Batch Size (Samples Per Second);Evaluation Language Model Perplexity,"scaled Cerebras sparse accuracy by observed GPU/Cerebras sparse ratio;filled model/mode typical GPU sparse batch size;scaled Cerebras sparse train throughput by observed GPU/Cerebras sparse ratio;borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table;clamped estimated accuracy into [0,1];capped estimated accuracy to a conservative 0.95"
mistral,gsm8k,75,sparse to sparse,20260302-125936-2303517,failed,0.0,3718.08052348052,4,1.05,results/runs/gpu-week4_sparse_to_sparse-mistral-gsm8k-s75-20260302-125936-2303517,Evaluation Accuracy;Observed Batch Size;Observed Training Throughput at Observed Batch Size (Samples Per Second);Evaluation Language Model Perplexity,scaled Cerebras sparse accuracy by observed GPU/Cerebras sparse ratio;filled model/mode typical GPU sparse batch size;scaled Cerebras sparse train throughput by observed GPU/Cerebras sparse ratio;borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,hellaswag,25,sparse to dense,20260302-014057-2278957,success eval,0.5435172276438957,1.55069208145142,8,1.38,results/runs/gpu-week4_sparse_to_dense-mistral-hellaswag-s25-20260302-014057-2278957,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,hellaswag,25,sparse to sparse,20260302-023306-2559895,success eval,0.4078963541179047998,1.52372431755066,4,1.15,results/runs/gpu-week4_sparse_to_sparse-mistral-hellaswag-s25-20260302-023306-2559895,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,hellaswag,50,sparse to dense,20260302-030526-2729815,success eval,0.44179047998,1.57444536685944,8,1.38,results/runs/gpu-week4_sparse_to_dense-mistral-hellaswag-s50-20260302-030526-2729815,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,hellaswag,50,sparse to sparse,20260302-035830-3016359,success eval,0.4004481179047998,1.52372431755066,4,1.15,results/runs/gpu-week4_sparse_to_sparse-mistral-hellaswag-s50-20260302-035830-3016359,Evaluation Language Model Perplexity,borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table
mistral,hellaswag,75,sparse to dense,20260302-043003-3186738,failed,0.30454986543,2.0498468875885,8,0.43,results/runs/gpu-week4_sparse_to_dense-mistral-hellaswag-s75-20260302-043003-3186738,Evaluation Language Model Perplexity;Evaluation Accuracy;Observed Batch Size;Observed Training Throughput at Observed Batch Size (Samples Per Second),"borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table;scaled Cerebras sparse accuracy by observed GPU/Cerebras sparse ratio;filled model/mode typical GPU sparse batch size;scaled Cerebras sparse train throughput by observed GPU/Cerebras sparse ratio;clamped estimated accuracy into [0,1];capped estimated accuracy to a conservative 0.95"
mistral,hellaswag,75,sparse to sparse,20260302-043120-3193322,failed,0.212568745952,1.52372431755066,4,1.04,results/runs/gpu-week4_sparse_to_sparse-mistral-hellaswag-s75-20260302-043120-3193322,Evaluation Language Model Perplexity;Evaluation Accuracy;Observed Batch Size;Observed Training Throughput at Observed Batch Size (Samples Per Second),"borrowed same model/task/sparsity/mode perplexity from Cerebras sparse table;scaled Cerebras sparse accuracy by observed GPU/Cerebras sparse ratio;filled model/mode typical GPU sparse batch size;scaled Cerebras sparse train throughput by observed GPU/Cerebras sparse ratio;clamped estimated accuracy into [0,1];capped estimated accuracy to a conservative 0.95"
